MovieID,Title,Genre,Duration,Rating,ReleaseDate
1,Inception,Sci-Fi,148,8.8,2010-07-16
2,The Dark Knight,Action,152,9.0,2008-07-18
3,Interstellar,Sci-Fi,169,8.6,2014-11-07
4,Parasite,Thriller,132,8.6,2019-05-30
5,Avengers: Endgame,Action,181,8.4,2019-04-26
